protein_name	model	val_auroc	val_auprc	test_auroc	test_auprc	n_train	n_val	n_test	n_pos	n_neg	n_deduped_removed
PABPC1	random_forest	0.9894888095197406	0.9706924274942987	0.9923010848952458	0.9841812985403049	5159	1729	1677	4614	9927	0
PABPC3	logistic_regression	0.9822323049001815	0.9656240024999061	0.9776644700270966	0.9539054381998209	4322	1472	1420	3852	8164	0
PABPC3	random_forest	0.9866243194192378	0.9724253134907668	0.9895603305640996	0.9791220106057058	4322	1472	1420	3852	8164	0
PABPC4	logistic_regression	0.9996138335769701	0.9994996467149271	0.9991707802470099	0.9987895109368912	5223	1743	1707	5439	11944	0
PABPC4	random_forest	0.9991167612262186	0.9986220556545168	0.9985979914764571	0.9975858945628847	5223	1743	1707	5439	11944	0
PABPC5	logistic_regression	0.9937297035030073	0.9918391197278102	0.9940897213624488	0.992687797922617	5575	1832	1846	6341	13782	0
PABPC5	random_forest	0.9921071847197401	0.9895376288005859	0.9957667230394504	0.9947075196054873	5575	1832	1846	6341	13782	0
PABPN1	logistic_regression	0.9842689667655208	0.9688682267655584	0.9848153730478213	0.9669691348499718	7423	2504	2528	6686	14410	0
PABPN1	random_forest	0.9890438995864834	0.9783780533350045	0.9860696743709714	0.9684413992542693	7423	2504	2528	6686	14410	0
PAPI	logistic_regression	0.9828201952095758	0.9544174232665087	0.9863696056687841	0.966025545736884	3300	1088	1128	3170	6812	0
PAPI	random_forest	0.9826839826839827	0.9456785195970983	0.9899701246196146	0.9722079599901663	3300	1088	1128	3170	6812	0
PCBP1	logistic_regression	0.98572169317836	0.9682378491421048	0.9882690854119427	0.9772339169454372	5676	1862	1873	4833	10419	0
PCBP1	random_forest	0.9830350414099632	0.9600851703403881	0.9848274124464601	0.9694697508580913	5676	1862	1873	4833	10419	0
PCBP2	logistic_regression	0.9507514792899409	0.921498909802593	0.9503875968992248	0.9115265621463554	2494	845	831	2351	4838	0
PCBP2	random_forest	0.9587988165680473	0.9283915435133163	0.9650486034206964	0.9386794284873909	2494	845	831	2351	4838	0
PCBP3	logistic_regression	0.9949757882131257	0.9890531729349912	0.9933593772507534	0.9848841961145653	6419	2149	2141	5155	11289	0
PCBP3	random_forest	0.9942445013223138	0.9876299539964891	0.992244444060316	0.982022519934405	6419	2149	2141	5155	11289	0
PF10_0068	logistic_regression	0.9979666135893007	0.9966665353637689	0.9969203276115134	0.9951971227916442	7738	2604	2578	7298	15579	0
PF10_0068	random_forest	0.9991234758946527	0.9985601309418988	0.9979019078575199	0.9962874989816495	7738	2604	2578	7298	15579	0
PF10_0214	logistic_regression	0.9956982968649774	0.9879693631457979	0.994860317830361	0.9864892111803477	7532	2543	2471	6123	13253	0
PF10_0214	random_forest	0.9970459049684599	0.990053221448534	0.9981746124256907	0.9954224650877803	7532	2543	2471	6123	13253	0
PF13_0315	logistic_regression	0.953119335508498	0.9116725155894716	0.9567868405077707	0.9362509144109136	3735	1274	1255	3514	7417	0
PF13_0315	random_forest	0.9748043417994157	0.957985722983534	0.9762902437321042	0.9621392291562183	3735	1274	1255	3514	7417	0
PFF0320c	logistic_regression	0.9905784968696296	0.981893733173046	0.9883427171072555	0.9773739837097196	5256	1748	1746	4640	9990	0
